"Name","Total Population by Race/Ethnicity"
"Description","Total population by racial/ethnic group."
"Source Notes","<span style=""color: #333333;"">U.S. Census Bureau, American Community Survey 5-Year Estimates, Table B03002 (2009-2018); retrieved <a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a>.</span>
<div><span style=""color: #333333;""><br />
</span></div>"
"Notes","Percents refer to the percent of the total population. Racial/ethnic groups are defined as follows: White = non-Latino White alone, Black = non-Latino Black alone, Asian = non-Latino Asian or Pacific Islander alone, Other = other non-Latino of any race, Latino = Latino of any race.&nbsp;"

Location,Race/Ethnicity,TimeFrame,DataFormat,Data,Fips
Mott Haven,Black,2017,Percent,0.28744,201
Hunts Point,Black,2017,Percent,0.28744,202
Washington Heights,Black,2017,Percent,0.07908,112
Manhattanville,Black,2017,Percent,0.2157,109
Central Harlem,Black,2017,Percent,0.5614,110
East Harlem,Black,2017,Percent,0.29916,111
Upper East Side,Black,2017,Percent,0.02431,108
Upper West Side,Black,2017,Percent,0.05551,107
Chelsea/Clinton,Black,2017,Percent,0.05998,104
Midtown Business District,Black,2017,Percent,0.05998,105
Murray Hill/Stuyvesant,Black,2017,Percent,0.03321,106
Lower East Side,Black,2017,Percent,0.07367,103
Battery Park/Tribeca,Black,2017,Percent,0.02304,101
Greenwich Village,Black,2017,Percent,0.02304,102
Tottenville,Black,2017,Percent,0.01042,503
South Beach,Black,2017,Percent,0.04085,502
St. George,Black,2017,Percent,0.2149,501
Williamsburg/Greenpoint,Black,2017,Percent,0.04519,301
Bushwick,Black,2017,Percent,0.18899,304
Bedford Stuyvesant,Black,2017,Percent,0.51065,303
Fort Greene/Brooklyn Hts,Black,2017,Percent,0.26629,302
Park Slope,Black,2017,Percent,0.06665,306
Crown Heights North,Black,2017,Percent,0.58144,308
Brownsville,Black,2017,Percent,0.73054,316
East New York,Black,2017,Percent,0.52102,305
Canarsie,Black,2017,Percent,0.62511,318
East Flatbush,Black,2017,Percent,0.87093,317
Crown Heights South,Black,2017,Percent,0.65282,309
Sunset Park,Black,2017,Percent,0.02523,307
Bay Ridge,Black,2017,Percent,0.01685,310
Borough Park,Black,2017,Percent,0.02312,312
Flatbush/Midwood,Black,2017,Percent,0.30723,314
Sheepshead Bay,Black,2017,Percent,0.03894,315
Bensonhurst,Black,2017,Percent,0.01042,311
Coney Island,Black,2017,Percent,0.11143,313
Astoria,Black,2017,Percent,0.06713,401
Jackson Heights,Black,2017,Percent,0.04771,403
Flushing,Black,2017,Percent,0.02098,407
Bayside,Black,2017,Percent,0.01876,411
Queens Village,Black,2017,Percent,0.55655,413
Fresh Meadows/Briarwood,Black,2017,Percent,0.11522,408
Elmhurst/Corona,Black,2017,Percent,0.07643,404
Rego Park/Forest Hills,Black,2017,Percent,0.02822,406
Sunnyside/Woodside,Black,2017,Percent,0.01382,402
Ridgewood/Glendale,Black,2017,Percent,0.01271,405
Woodhaven,Black,2017,Percent,0.05478,409
Jamaica/St. Albans,Black,2017,Percent,0.61192,412
Howard Beach,Black,2017,Percent,0.14836,410
The Rockaways,Black,2017,Percent,0.35138,414
Bronx,Black,2017,Percent,0.29358,36005
Brooklyn,Black,2017,Percent,0.30564,36047
Manhattan,Black,2017,Percent,0.12513,36061
Queens,Black,2017,Percent,0.17165,36081
Staten Island,Black,2017,Percent,0.09371,36085
New York City,Black,2017,Percent,0.22031,3651000
Riverdale,Asian,2017,Number,5101,208
Williamsbridge,Asian,2017,Number,4692,212
Throgs Neck,Asian,2017,Number,4128,210
Pelham Parkway,Asian,2017,Number,10398,211
Morrisania,Asian,2017,Number,784.26355,203
East Tremont,Asian,2017,Number,818.73645,206
Bedford Park,Asian,2017,Number,7564,207
University Heights,Asian,2017,Number,2358,205
Concourse/Highbridge,Asian,2017,Number,2571,204
Unionport/Soundview,Asian,2017,Number,13296,209
Mott Haven,Asian,2017,Number,735.83084,201
Hunts Point,Asian,2017,Number,420.16916,202
Washington Heights,Asian,2017,Number,5902,112
Manhattanville,Asian,2017,Number,11140,109
Central Harlem,Asian,2017,Number,4818,110
East Harlem,Asian,2017,Number,9958,111
Upper East Side,Asian,2017,Number,21926,108
Upper West Side,Asian,2017,Number,18326,107
Chelsea/Clinton,Asian,2017,Number,16885.16067,104
Midtown Business District,Asian,2017,Number,8450.83933,105
Murray Hill/Stuyvesant,Asian,2017,Number,23618,106
Lower East Side,Asian,2017,Number,51285,103
Battery Park/Tribeca,Asian,2017,Number,10005.23166,101
Greenwich Village,Asian,2017,Number,14769.76834,102
Tottenville,Asian,2017,Number,7751,503
South Beach,Asian,2017,Number,19085,502
St. George,Asian,2017,Number,13105,501
Williamsburg/Greenpoint,Asian,2017,Number,12100,301
Bushwick,Asian,2017,Number,7199,304
Bedford Stuyvesant,Asian,2017,Number,4747,303
Fort Greene/Brooklyn Hts,Asian,2017,Number,13137,302
Park Slope,Asian,2017,Number,7829,306
Crown Heights North,Asian,2017,Number,5180,308
Brownsville,Asian,2017,Number,1659,316
East New York,Asian,2017,Number,7339,305
Canarsie,Asian,2017,Number,10028,318
East Flatbush,Asian,2017,Number,1994,317
Crown Heights South,Asian,2017,Number,2168,309
Sunset Park,Asian,2017,Number,48260,307
Bay Ridge,Asian,2017,Number,30691,310
Borough Park,Asian,2017,Number,23564,312
Flatbush/Midwood,Asian,2017,Number,17511,314
Sheepshead Bay,Asian,2017,Number,26740,315
Bensonhurst,Asian,2017,Number,76450,311
Coney Island,Asian,2017,Number,15974,313
Astoria,Asian,2017,Number,28454,401
Jackson Heights,Asian,2017,Number,30688,403
Flushing,Asian,2017,Number,132713,407
Bayside,Asian,2017,Number,53375,411
Queens Village,Asian,2017,Number,31090,413
Fresh Meadows/Briarwood,Asian,2017,Number,56641,408
Elmhurst/Corona,Asian,2017,Number,48925,404
Rego Park/Forest Hills,Asian,2017,Number,34086,406
Sunnyside/Woodside,Asian,2017,Number,49374,402
Ridgewood/Glendale,Asian,2017,Number,15959,405
Woodhaven,Asian,2017,Number,41530,409
Jamaica/St. Albans,Asian,2017,Number,30471,412
Howard Beach,Asian,2017,Number,31158,410
The Rockaways,Asian,2017,Number,4317,414
Bronx,Asian,2017,Number,52867,36005
Brooklyn,Asian,2017,Number,312570,36047
Manhattan,Asian,2017,Number,197084,36061
Queens,Asian,2017,Number,588761,36081
Staten Island,Asian,2017,Number,39941,36085
New York City,Asian,2017,Number,1191223,3651000
Riverdale,Asian,2017,Percent,0.04588,208
Williamsbridge,Asian,2017,Percent,0.03182,212
Throgs Neck,Asian,2017,Percent,0.03367,210
Pelham Parkway,Asian,2017,Percent,0.08024,211
Morrisania,Asian,2017,Percent,0.00917,203
East Tremont,Asian,2017,Percent,0.00917,206
Bedford Park,Asian,2017,Percent,0.05673,207
University Heights,Asian,2017,Percent,0.0168,205
Concourse/Highbridge,Asian,2017,Percent,0.01778,204
Unionport/Soundview,Asian,2017,Percent,0.06967,209
Mott Haven,Asian,2017,Percent,0.00718,201
Hunts Point,Asian,2017,Percent,0.00718,202
Washington Heights,Asian,2017,Percent,0.02659,112
Manhattanville,Asian,2017,Percent,0.08472,109
Central Harlem,Asian,2017,Percent,0.03481,110
East Harlem,Asian,2017,Percent,0.07921,111
Upper East Side,Asian,2017,Percent,0.09854,108
Upper West Side,Asian,2017,Percent,0.09376,107
Chelsea/Clinton,Asian,2017,Percent,0.16647,104
Midtown Business District,Asian,2017,Percent,0.16647,105
Murray Hill/Stuyvesant,Asian,2017,Percent,0.15872,106
Lower East Side,Asian,2017,Percent,0.32123,103
Battery Park/Tribeca,Asian,2017,Percent,0.15709,101
Greenwich Village,Asian,2017,Percent,0.15709,102
Tottenville,Asian,2017,Percent,0.04681,503
South Beach,Asian,2017,Percent,0.13945,502
St. George,Asian,2017,Percent,0.07554,501
Williamsburg/Greenpoint,Asian,2017,Percent,0.07525,301
Bushwick,Asian,2017,Percent,0.05312,304
Bedford Stuyvesant,Asian,2017,Percent,0.03268,303
Fort Greene/Brooklyn Hts,Asian,2017,Percent,0.09437,302
Park Slope,Asian,2017,Percent,0.06582,306
Crown Heights North,Asian,2017,Percent,0.03942,308
Brownsville,Asian,2017,Percent,0.01366,316
East New York,Asian,2017,Percent,0.04622,305
Canarsie,Asian,2017,Percent,0.0473,318
East Flatbush,Asian,2017,Percent,0.01444,317
Crown Heights South,Asian,2017,Percent,0.01968,309
Sunset Park,Asian,2017,Percent,0.32182,307
Bay Ridge,Asian,2017,Percent,0.24582,310
Borough Park,Asian,2017,Percent,0.14328,312
Flatbush/Midwood,Asian,2017,Percent,0.10672,314
Sheepshead Bay,Asian,2017,Percent,0.17359,315
Bensonhurst,Asian,2017,Percent,0.39822,311
Coney Island,Asian,2017,Percent,0.13987,313
Astoria,Asian,2017,Percent,0.16385,401
Jackson Heights,Asian,2017,Percent,0.17031,403
Flushing,Asian,2017,Percent,0.52635,407
Bayside,Asian,2017,Percent,0.44061,411
Queens Village,Asian,2017,Percent,0.15119,413
Fresh Meadows/Briarwood,Asian,2017,Percent,0.34322,408
Elmhurst/Corona,Asian,2017,Percent,0.34159,404
Rego Park/Forest Hills,Asian,2017,Percent,0.29232,406
Sunnyside/Woodside,Asian,2017,Percent,0.35548,402
Ridgewood/Glendale,Asian,2017,Percent,0.08788,405
Woodhaven,Asian,2017,Percent,0.26788,409
Jamaica/St. Albans,Asian,2017,Percent,0.12473,412
Howard Beach,Asian,2017,Percent,0.22437,410
The Rockaways,Asian,2017,Percent,0.03509,414
Bronx,Asian,2017,Percent,0.03631,36005
Brooklyn,Asian,2017,Percent,0.11862,36047
Manhattan,Asian,2017,Percent,0.11916,36061
Queens,Asian,2017,Percent,0.25168,36081
Staten Island,Asian,2017,Percent,0.08392,36085
New York City,Asian,2017,Percent,0.13916,3651000
Riverdale,Latino,2017,Number,53433,208
Williamsbridge,Latino,2017,Number,33701,212
Throgs Neck,Latino,2017,Number,47017,210
Pelham Parkway,Latino,2017,Number,60465,211
Morrisania,Latino,2017,Number,54127.88364,203
East Tremont,Latino,2017,Number,56507.11636,206
Bedford Park,Latino,2017,Number,95046,207
University Heights,Latino,2017,Number,95940,205
Concourse/Highbridge,Latino,2017,Number,94659,204
Unionport/Soundview,Latino,2017,Number,110961,209
Mott Haven,Latino,2017,Number,69185.92157,201
Hunts Point,Latino,2017,Number,39506.07843,202
Washington Heights,Latino,2017,Number,153564,112
Manhattanville,Latino,2017,Number,50006,109
Central Harlem,Latino,2017,Number,32480,110
East Harlem,Latino,2017,Number,58187,111
Upper East Side,Latino,2017,Number,21126,108
Upper West Side,Latino,2017,Number,29284,107
Chelsea/Clinton,Latino,2017,Number,15334.99948,104
Midtown Business District,Latino,2017,Number,7675.00052,105
Murray Hill/Stuyvesant,Latino,2017,Number,13433,106
Lower East Side,Latino,2017,Number,40040,103
Battery Park/Tribeca,Latino,2017,Number,4086.49603,101
Greenwich Village,Latino,2017,Number,6032.50397,102
Tottenville,Latino,2017,Number,16438,503
South Beach,Latino,2017,Number,18763,502
St. George,Latino,2017,Number,51339,501
Williamsburg/Greenpoint,Latino,2017,Number,36971,301
Bushwick,Latino,2017,Number,77111,304
Bedford Stuyvesant,Latino,2017,Number,28020,303
Fort Greene/Brooklyn Hts,Latino,2017,Number,20639,302
Park Slope,Latino,2017,Number,20572,306
Crown Heights North,Latino,2017,Number,16589,308
Brownsville,Latino,2017,Number,26163,316
East New York,Latino,2017,Number,58960,305
Canarsie,Latino,2017,Number,17441,318
East Flatbush,Latino,2017,Number,10211,317
Crown Heights South,Latino,2017,Number,9770,309
Sunset Park,Latino,2017,Number,61573,307
Bay Ridge,Latino,2017,Number,19902,310
Borough Park,Latino,2017,Number,17691,312
Flatbush/Midwood,Latino,2017,Number,25739,314
Sheepshead Bay,Latino,2017,Number,15358,315
Bensonhurst,Latino,2017,Number,27695,311
Coney Island,Latino,2017,Number,17960,313
Astoria,Latino,2017,Number,46588,401
Jackson Heights,Latino,2017,Number,120516,403
Flushing,Latino,2017,Number,43861,407
Bayside,Latino,2017,Number,13902,411
Queens Village,Latino,2017,Number,25367,413
Fresh Meadows/Briarwood,Latino,2017,Number,31721,408
Elmhurst/Corona,Latino,2017,Number,71163,404
Rego Park/Forest Hills,Latino,2017,Number,18382,406
Sunnyside/Woodside,Latino,2017,Number,45043,402
Ridgewood/Glendale,Latino,2017,Number,66325,405
Woodhaven,Latino,2017,Number,65447,409
Jamaica/St. Albans,Latino,2017,Number,40838,412
Howard Beach,Latino,2017,Number,35627,410
The Rockaways,Latino,2017,Number,30013,414
Bronx,Latino,2017,Number,810549,36005
Brooklyn,Latino,2017,Number,508365,36047
Manhattan,Latino,2017,Number,431249,36061
Queens,Latino,2017,Number,654793,36081
Staten Island,Latino,2017,Number,86540,36085
New York City,Latino,2017,Number,2491496,3651000
Riverdale,Latino,2017,Percent,0.48059,208
Williamsbridge,Latino,2017,Percent,0.22856,212
Throgs Neck,Latino,2017,Percent,0.38354,210
Pelham Parkway,Latino,2017,Percent,0.46659,211
Morrisania,Latino,2017,Percent,0.63265,203
East Tremont,Latino,2017,Percent,0.63265,206
Bedford Park,Latino,2017,Percent,0.71281,207
University Heights,Latino,2017,Percent,0.6837,205
Concourse/Highbridge,Latino,2017,Percent,0.65456,204
Unionport/Soundview,Latino,2017,Percent,0.58141,209
Mott Haven,Latino,2017,Percent,0.67493,201
Hunts Point,Latino,2017,Percent,0.67493,202
Washington Heights,Latino,2017,Percent,0.69195,112
Manhattanville,Latino,2017,Percent,0.38029,109
Central Harlem,Latino,2017,Percent,0.23468,110
East Harlem,Latino,2017,Percent,0.46283,111
Upper East Side,Latino,2017,Percent,0.09494,108
Upper West Side,Latino,2017,Percent,0.14982,107
Chelsea/Clinton,Latino,2017,Percent,0.15119,104
Midtown Business District,Latino,2017,Percent,0.15119,105
Murray Hill/Stuyvesant,Latino,2017,Percent,0.09027,106
Lower East Side,Latino,2017,Percent,0.2508,103
Battery Park/Tribeca,Latino,2017,Percent,0.06416,101
Greenwich Village,Latino,2017,Percent,0.06416,102
Tottenville,Latino,2017,Percent,0.09926,503
South Beach,Latino,2017,Percent,0.1371,502
St. George,Latino,2017,Percent,0.29592,501
Williamsburg/Greenpoint,Latino,2017,Percent,0.22992,301
Bushwick,Latino,2017,Percent,0.56902,304
Bedford Stuyvesant,Latino,2017,Percent,0.1929,303
Fort Greene/Brooklyn Hts,Latino,2017,Percent,0.14827,302
Park Slope,Latino,2017,Percent,0.17296,306
Crown Heights North,Latino,2017,Percent,0.12625,308
Brownsville,Latino,2017,Percent,0.21541,316
East New York,Latino,2017,Percent,0.37132,305
Canarsie,Latino,2017,Percent,0.08227,318
East Flatbush,Latino,2017,Percent,0.07397,317
Crown Heights South,Latino,2017,Percent,0.08869,309
Sunset Park,Latino,2017,Percent,0.4106,307
Bay Ridge,Latino,2017,Percent,0.15941,310
Borough Park,Latino,2017,Percent,0.10757,312
Flatbush/Midwood,Latino,2017,Percent,0.15687,314
Sheepshead Bay,Latino,2017,Percent,0.0997,315
Bensonhurst,Latino,2017,Percent,0.14426,311
Coney Island,Latino,2017,Percent,0.15726,313
Astoria,Latino,2017,Percent,0.26828,401
Jackson Heights,Latino,2017,Percent,0.66884,403
Flushing,Latino,2017,Percent,0.17396,407
Bayside,Latino,2017,Percent,0.11476,411
Queens Village,Latino,2017,Percent,0.12336,413
Fresh Meadows/Briarwood,Latino,2017,Percent,0.19222,408
Elmhurst/Corona,Latino,2017,Percent,0.49685,404
Rego Park/Forest Hills,Latino,2017,Percent,0.15764,406
Sunnyside/Woodside,Latino,2017,Percent,0.3243,402
Ridgewood/Glendale,Latino,2017,Percent,0.36523,405
Woodhaven,Latino,2017,Percent,0.42215,409
Jamaica/St. Albans,Latino,2017,Percent,0.16716,412
Howard Beach,Latino,2017,Percent,0.25655,410
The Rockaways,Latino,2017,Percent,0.24398,414
Bronx,Latino,2017,Percent,0.55675,36005
Brooklyn,Latino,2017,Percent,0.19292,36047
Manhattan,Latino,2017,Percent,0.26075,36061
Queens,Latino,2017,Percent,0.27991,36081
Staten Island,Latino,2017,Percent,0.18183,36085
New York City,Latino,2017,Percent,0.29106,3651000
Riverdale,Other,2017,Number,2840,208
Williamsbridge,Other,2017,Number,3328,212
Throgs Neck,Other,2017,Number,2446,210
Pelham Parkway,Other,2017,Number,2548,211
Morrisania,Other,2017,Number,908.53238,203
East Tremont,Other,2017,Number,948.46762,206
Bedford Park,Other,2017,Number,2644,207
University Heights,Other,2017,Number,1762,205
Concourse/Highbridge,Other,2017,Number,2531,204
Unionport/Soundview,Other,2017,Number,5593,209
Mott Haven,Other,2017,Number,1141.30164,201
Hunts Point,Other,2017,Number,651.69836,202
Washington Heights,Other,2017,Number,3731,112
Manhattanville,Other,2017,Number,4487,109
Central Harlem,Other,2017,Number,4077,110
East Harlem,Other,2017,Number,2583,111
Upper East Side,Other,2017,Number,5848,108
Upper West Side,Other,2017,Number,5513,107
Chelsea/Clinton,Other,2017,Number,2950.37126,104
Midtown Business District,Other,2017,Number,1476.62874,105
Murray Hill/Stuyvesant,Other,2017,Number,4555,106
Lower East Side,Other,2017,Number,4430,103
Battery Park/Tribeca,Other,2017,Number,2249.81415,101
Greenwich Village,Other,2017,Number,3321.18585,102
Tottenville,Other,2017,Number,1564,503
South Beach,Other,2017,Number,2346,502
St. George,Other,2017,Number,5441,501
Williamsburg/Greenpoint,Other,2017,Number,3796,301
Bushwick,Other,2017,Number,2403,304
Bedford Stuyvesant,Other,2017,Number,3009,303
Fort Greene/Brooklyn Hts,Other,2017,Number,5828,302
Park Slope,Other,2017,Number,5832,306
Crown Heights North,Other,2017,Number,4803,308
Brownsville,Other,2017,Number,1786,316
East New York,Other,2017,Number,3674,305
Canarsie,Other,2017,Number,3718,318
East Flatbush,Other,2017,Number,2212,317
Crown Heights South,Other,2017,Number,2514,309
Sunset Park,Other,2017,Number,2488,307
Bay Ridge,Other,2017,Number,2402,310
Borough Park,Other,2017,Number,3287,312
Flatbush/Midwood,Other,2017,Number,4300,314
Sheepshead Bay,Other,2017,Number,3036,315
Bensonhurst,Other,2017,Number,3321,311
Coney Island,Other,2017,Number,2870,313
Astoria,Other,2017,Number,4875,401
Jackson Heights,Other,2017,Number,2411,403
Flushing,Other,2017,Number,5562,407
Bayside,Other,2017,Number,2534,411
Queens Village,Other,2017,Number,11357,413
Fresh Meadows/Briarwood,Other,2017,Number,7164,408
Elmhurst/Corona,Other,2017,Number,2608,404
Rego Park/Forest Hills,Other,2017,Number,4142,406
Sunnyside/Woodside,Other,2017,Number,3332,402
Ridgewood/Glendale,Other,2017,Number,2452,405
Woodhaven,Other,2017,Number,11648,409
Jamaica/St. Albans,Other,2017,Number,19379,412
Howard Beach,Other,2017,Number,21356,410
The Rockaways,Other,2017,Number,2299,414
Bronx,Other,2017,Number,27342,36005
Brooklyn,Other,2017,Number,61279,36047
Manhattan,Other,2017,Number,45222,36061
Queens,Other,2017,Number,101110,36081
Staten Island,Other,2017,Number,9351,36085
New York City,Other,2017,Number,244304,3651000
Riverdale,Other,2017,Percent,0.02554,208
